Line Group.1 Group.2 x weekmax weekmin e abnm
1 1 2000 9.53508259866667 12.16022985 8.340899305 NA -10.941083814866
2 2 2000 24.0484192071429 33.86515724 14.52305937 NA -9.43112691052636
3 3 2000 46.9353458914286 57.58386445 37.12718314 NA -7.84598831095843
4 4 2000 79.9646960228571 102.0564293 61.9264553 NA -8.19979835871396
5 5 2000 147.896671328571 185.9401253 112.3655423 NA -8.89802092664248
6 6 2000 256.654341142857 319.3251406 201.5153849 NA -9.10051284209424
7 7 2000 445.625821614286 566.2872955 344.9380091 NA -8.83956518450923
8 8 2000 769.961734357143 950.3846774 610.3652568 NA -8.88757135977454
9 9 2000 1303.475422 1627.067096 1020.0546 NA -7.59373139052069
10 10 2000 2216.85752057143 2716.809288 1760.414123 NA -6.80586394175153
11 11 2000 3649.01761328571 4500.130551 2909.836196 NA -6.49854858828869
12 12 2000 6171.38169885714 7569.835796 4881.714552 NA -5.97454467651
13 13 2000 10234.6849637143 12630.57234 8120.8237 NA -6.8261287186488
14 14 2000 17171.1717728571 20980.76415 13606.3066 NA -8.24072973631662
15 15 2000 27403.5550271429 32993.33068 22378.09353 NA -9.24831082306187
16 16 2000 44511.9719557143 54178.29296 35448.32677 NA -8.95585755329266
17 17 2000 71981.1138814286 87138.42579 57906.26194 NA -8.46015389596646
18 18 2000 109196.440922857 126043.9225 92414.23611 NA -8.34711086257474
19 19 2000 152979.296871429 175243.8007 132199.4933 NA -8.03377977108557
20 20 2000 211062.930471429 240425.6711 183494.7533 NA -7.76864984360767
21 21 2000 286380.880528571 323394.3267 251183.4446 NA -6.8953878429638
22 22 2000 379452.450871429 424346.5334 336691.4348 NA -6.04731342197557
23 23 2000 477985.499014286 504126.2991 441874.2315 NA -6.43166611035905
24 24 2000 528025.943028571 547140.3855 509999.2037 NA -7.49117192178424
25 25 2000 575277.511242857 596885.4246 557444.7998 NA -8.17761424444316
26 26 2000 639185.261857143 669083.5002 605213.0135 NA -7.24591263980614
27 27 2000 676131.108071429 696286.376 664840.0607 NA -6.39541666654598
28 28 2000 720269.209942857 726099.9276 706628.9661 NA -6.24296995946827
29 29 2000 748687.2815 770605.6662 731139.7869 NA -6.06898376362642
30 30 2000 788190.8372 792690.1002 780135.5298 NA -5.7940171667959
31 31 2000 803981.145042857 820623.8034 791995.4449 NA -5.29066532601678
32 32 2000 833907.474457143 853214.2707 818421.858 NA -4.74210366383185
33 33 2000 856240.506842857 860794.2475 852336.7187 NA -4.19636380020464
